naic_cd,naics_code_description,Keep?
327212,Other Pressed and Blown Glass and Glassware Manufacturing,
42349,Other Professional Equipment and Supplies Merchant Wholesalers,
5419,"Other Professional, Scientific, and Technical Services",
51119,Other Publishers,
6239,Other Residential Care Facilities,
62399,Other Residential Care Facilities,
32629,Other Rubber Product Manufacturing,
6116,Other Schools and Instruction,
54169,Other Scientific and Technical Consulting Services,
54189,Other Services Related to Advertising,
56179,Other Services to Buildings and Dwellings,
81399,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",
311919,Other Snack Food Manufacturing,
813319,Other Social Advocacy Organizations,
51229,Other Sound Recording Industries,
54149,Other Specialized Design Services,
44529,Other Specialty Food Stores,
2389,Other Specialty Trade Contractors,Y
711219,Other Spectator Sports,
939,Other State Governmental Facilities,
327123,Other Structural Clay Product Manufacturing,
48819,Other Support Activities for Air Transportation,
48849,Other Support Activities for Road Transportation,
48899,Other Support Activities for Transportation,
4889,Other Support Activities for Transportation,
48839,Other Support Activities for Water Transportation,
5619,Other Support Services,
611519,Other Technical and Trade Schools,
51791,Other Telecommunications,
5179,Other Telecommunications,
3149,Other Textile Product Mills,
312229,Other Tobacco Product Manufacturing,
48599,Other Transit and Ground Passenger Transportation,
4859,Other Transit and Ground Passenger Transportation,
3369,Other Transportation Equipment Manufacturing,
33699,Other Transportation Equipment Manufacturing,
56159,Other Travel Arrangement and Reservation Services,
72119,Other Traveler Accommodation,
485119,Other Urban Transit Systems,
111219,Other Vegetable (except Potato) and Melon Farming,
49319,Other Warehousing and Storage,
562119,Other Waste Collection,
3219,Other Wood Product Manufacturing,
44421,Outdoor Power Equipment Stores,
315191,Outerwear Knitting Mills,
6214,Outpatient Care Centers,
62142,Outpatient Mental Health and Substance Abuse Centers,
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",
42442,Packaged Frozen Food Merchant Wholesalers,
333993,Packaging Machinery Manufacturing,
56191,Packaging and Labeling Services,
488991,Packing and Crating,
32551,Paint and Coating Manufacturing,
44412,Paint and Wallpaper Stores,
3255,"Paint, Coating, and Adhesive Manufacturing",
42495,"Paint, Varnish, and Supplies Merchant Wholesalers",
23832,Painting and Wall Covering Contractors,Y
322121,Paper (except Newsprint) Mills,
32222,Paper Bag and Coated and Treated Paper Manufacturing,
333291,Paper Industry Machinery Manufacturing,
32212,Paper Mills,
4241,Paper and Paper Product Merchant Wholesalers,
32221,Paperboard Container Manufacturing,
32213,Paperboard Mills,
81293,Parking Lots and Garages,
92215,Parole Offices and Probation Offices,
532112,Passenger Car Leasing,
532111,Passenger Car Rental,
53211,Passenger Car Rental and Leasing,
541214,Payroll Services,
111992,Peanut Farming,
339941,Pen and Mechanical Pencil Manufacturing,
52511,Pension Funds,
7111,Performing Arts Companies,
51112,Periodical Publishers,
311991,Perishable Prepared Food Manufacturing,
8121,Personal Care Services,
316993,Personal Leather Good (except Women's Handbag and Purse) Manufacturing,
8114,Personal and Household Goods Repair and Maintenance,
32532,Pesticide and Other Agricultural Chemical Manufacturing,
3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",
81291,Pet Care (except Veterinary) Services,
45391,Pet and Pet Supplies Stores,
32511,Petrochemical Manufacturing,
42471,Petroleum Bulk Stations and Terminals,
324191,Petroleum Lubricating Oil and Grease Manufacturing,
32411,Petroleum Refineries,
3241,Petroleum and Coal Products Manufacturing,
4247,Petroleum and Petroleum Products Merchant Wholesalers,
42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),
325412,Pharmaceutical Preparation Manufacturing,
3254,Pharmaceutical and Medicine Manufacturing,
32541,Pharmaceutical and Medicine Manufacturing,
44611,Pharmacies and Drug Stores,
212392,Phosphate Rock Mining,
325312,Phosphatic Fertilizer Manufacturing,
81292,Photofinishing,
812921,Photofinishing Laboratories (except One-Hour),
42341,Photographic Equipment and Supplies Merchant Wholesalers,
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",
54192,Photographic Services,
333315,Photographic and Photocopying Equipment Manufacturing,
541921,"Photography Studios, Portrait",
42431,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",
48611,Pipeline Transportation of Crude Oil,
4861,Pipeline Transportation of Crude Oil,
48621,Pipeline Transportation of Natural Gas,
4862,Pipeline Transportation of Natural Gas,
48691,Pipeline Transportation of Refined Petroleum Products,
326111,Plastics Bag and Pouch Manufacturing,
32616,Plastics Bottle Manufacturing,
325211,Plastics Material and Resin Manufacturing,
42461,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,
32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,
326122,Plastics Pipe and Pipe Fitting Manufacturing,
32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",
326191,Plastics Plumbing Fixture Manufacturing,
3261,Plastics Product Manufacturing,
33322,Plastics and Rubber Industry Machinery Manufacturing,
332313,Plate Work Manufacturing,
33231,Plate Work and Fabricated Structural Product Manufacturing,
332913,Plumbing Fixture Fitting and Trim Manufacturing,
42372,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,
23511,"Plumbing, Heating and Air-Conditioning Contractors",Y
23822,"Plumbing, Heating, and Air-Conditioning Contractors",Y
92212,Police Protection,
325612,Polish and Other Sanitation Good Manufacturing,
81394,Political Organizations,
32614,Polystyrene Foam Product Manufacturing,
327113,Porcelain Electrical Supply Manufacturing,
48831,Port and Harbor Operations,
52392,Portfolio Management,
49111,Postal Service,
4911,Postal Service,
115114,Postharvest Crop Activities (except Cotton Ginning),
51219,Postproduction Services and Other Motion Picture and Video Industries,
212391,"Potash, Soda, and Borate Mineral Mining",
111211,Potato Farming,
32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",
11234,Poultry Hatcheries,
311615,Poultry Processing,
1123,Poultry and Egg Production,
42444,Poultry and Poultry Product Merchant Wholesalers,
23811,Poured Concrete Foundation and Structure Contractors,Y
332117,Powder Metallurgy Part Manufacturing,
33241,Power Boiler and Heat Exchanger Manufacturing,
23713,Power and Communication Line and Related Structures Construction,Y
335311,"Power, Distribution, and Specialty Transformer Manufacturing",
333991,Power-Driven Handtool Manufacturing,
332721,Precision Turned Product Manufacturing,
332311,Prefabricated Metal Building and Component Manufacturing,
321992,Prefabricated Wood Building Manufacturing,
323122,Prepress Services,
334612,"Prerecorded Compact Disc (except Software), Tape, and Record Reproducing",
45122,"Prerecorded Tape, Compact Disc, and Record Stores",
331312,Primary Aluminum Production,
335912,Primary Battery Manufacturing,
331411,Primary Smelting and Refining of Copper,
331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,
32311,Printing,
32591,Printing Ink Manufacturing,
333293,Printing Machinery and Equipment Manufacturing,
3231,Printing and Related Support Activities,
42411,Printing and Writing Paper Merchant Wholesalers,
81411,Private Households,
8141,Private Households,
561431,Private Mail Centers,
541614,"Process, Physical Distribution, and Logistics Consulting Services",
56133,Professional Employer Organizations,
81392,Professional Organizations,
4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,
61143,Professional and Management Development Training,
7113,"Promoters of Performing Arts, Sports, and Similar Events",
71131,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",
71132,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",
62221,Psychiatric and Substance Abuse Hospitals,
6222,Psychiatric and Substance Abuse Hospitals,
92113,Public Finance Activities,
54182,Public Relations Agencies,
32211,Pulp Mills,
3221,"Pulp, Paper, and Paperboard Mills",
33391,Pump and Compressor Manufacturing,
333911,Pump and Pumping Equipment Manufacturing,
323114,Quick Printing,
721211,RV (Recreational Vehicle) Parks and Campgrounds,
7212,RV (Recreational Vehicle) Parks and Recreational Camps,
72121,RV (Recreational Vehicle) Parks and Recreational Camps,
711212,Racetracks,
51511,Radio Broadcasting,
515111,Radio Networks,
515112,Radio Stations,
5151,Radio and Television Broadcasting,
33422,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,
443112,"Radio, Television, and Other Electronics Stores",
48211,Rail Transportation,
4821,Rail Transportation,
3365,Railroad Rolling Stock Manufacturing,
33651,Railroad Rolling Stock Manufacturing,
32732,Ready-Mix Concrete Manufacturing,
522292,Real Estate Credit,
52593,Real Estate Investment Trusts,
53131,Real Estate Property Managers,
321219,Reconstituted Wood Product Manufacturing,
51221,Record Production,
532292,Recreational Goods Rental,
44121,Recreational Vehicle Dealers,
721214,Recreational and Vacation Camps (except Campgrounds),
42393,Recyclable Material Merchant Wholesalers,
49312,Refrigerated Warehousing and Storage,
42374,Refrigeration Equipment and Supplies Merchant Wholesalers,
92613,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",
92612,Regulation and Administration of Transportation Programs,
92614,Regulation of Agricultural Marketing and Commodities,
92615,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",
52413,Reinsurance Carriers,
335314,Relay and Industrial Control Manufacturing,
81311,Religious Organizations,
8131,Religious Organizations,
56291,Remediation Services,
5629,Remediation and Other Waste Management Services,
311613,Rendering and Meat Byproduct Processing,
561491,Repossession Services,
541711,Research and Development in Biotechnology,
54171,"Research and Development in the Physical, Engineering, and Life Sciences",
541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",
54172,Research and Development in the Social Sciences and Humanities,
2332,Residential Building Construction,Y
23611,Residential Building Construction,Y
2361,Residential Building Construction,Y
335121,Residential Electric Lighting Fixture Manufacturing,
62322,Residential Mental Health and Substance Abuse Facilities,
62321,Residential Mental Retardation Facilities,
6232,"Residential Mental Retardation, Mental Health and Substance Abuse Facilities",
531311,Residential Property Managers,
236118,Residential Remodelers,Y
326192,Resilient Floor Covering Manufacturing,
32521,Resin and Synthetic Rubber Manufacturing,
3252,"Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing",
311811,Retail Bakeries,
81142,Reupholstery and Furniture Repair,
11116,Rice Farming,
311212,Rice Milling,
311911,Roasted Nuts and Peanut Butter Manufacturing,
331221,Rolled Steel Shape Manufacturing,
333516,Rolling Mill Machinery and Equipment Manufacturing,
33122,Rolling and Drawing of Purchased Steel,
23816,Roofing Contractors,Y
42133,"Roofing, Siding and Insulation Material Wholesalers",
23561,"Roofing, Siding and Sheet Metal Contractors",Y
42333,"Roofing, Siding, and Insulation Material Merchant Wholesalers",
7213,Rooming and Boarding Houses,
72131,Rooming and Boarding Houses,
314991,"Rope, Cordage, and Twine Mills",
3262,Rubber Product Manufacturing,
326291,Rubber Product Manufacturing for Mechanical Use,
316211,Rubber and Plastics Footwear Manufacturing,
32622,Rubber and Plastics Hoses and Belting Manufacturing,
52222,Sales Financing,
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",
322291,Sanitary Paper Product Manufacturing,
51741,Satellite Telecommunications,
5174,Satellite Telecommunications,
52212,Savings Institutions,
332213,Saw Blade and Handsaw Manufacturing,
33321,Sawmill and Woodworking Machinery Manufacturing,
321113,Sawmills,
3211,Sawmills and Wood Preservation,
32111,Sawmills and Wood Preservation,
333997,Scale and Balance Manufacturing,
48711,"Scenic and Sightseeing Transportation, Land",
48799,"Scenic and Sightseeing Transportation, Other",
48721,"Scenic and Sightseeing Transportation, Water",
4811,Scheduled Air Transportation,
48111,Scheduled Air Transportation,
481112,Scheduled Freight Air Transportation,
481111,Scheduled Passenger Air Transportation,
313222,Schiffli Machine Embroidery,
4854,School and Employee Bus Transportation,
48541,School and Employee Bus Transportation,
5417,Scientific Research and Development Services,
311711,Seafood Canning,
3117,Seafood Product Preparation and Packaging,
31171,Seafood Product Preparation and Packaging,
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",
31194,Seasoning and Dressing Manufacturing,
522294,Secondary Market Financing,
331314,Secondary Smelting and Alloying of Aluminum,
331423,"Secondary Smelting, Refining, and Alloying of Copper",
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",
52312,Securities Brokerage,
5231,Securities and Commodity Contracts Intermediation and Brokerage,
52321,Securities and Commodity Exchanges,
5232,Securities and Commodity Exchanges,
561612,Security Guards and Patrol Services,
56162,Security Systems Services,
561621,Security Systems Services (except Locksmiths),
333295,Semiconductor Machinery Manufacturing,
33441,Semiconductor and Other Electronic Component Manufacturing,
3344,Semiconductor and Other Electronic Component Manufacturing,
334413,Semiconductor and Related Device Manufacturing,
562991,Septic Tank and Related Services,
42385,Service Establishment Equipment and Supplies Merchant Wholesalers,
62412,Services for the Elderly and Persons with Disabilities,
5617,Services to Buildings and Dwellings,
322213,Setup Paperboard Box Manufacturing,
22132,Sewage Treatment Facilities,
45113,"Sewing, Needlework, and Piece Goods Stores",
11241,Sheep Farming,
1124,Sheep and Goat Farming,
332322,Sheet Metal Work Manufacturing,
112512,Shellfish Farming,
114112,Shellfish Fishing,
336611,Ship Building and Repairing,
33661,Ship and Boat Building,
3366,Ship and Boat Building,
44821,Shoe Stores,
4482,Shoe Stores,
482112,Short Line Railroads,
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",
23817,Siding Contractors,Y
33995,Sign Manufacturing,
212222,Silver Ore Mining,
23321,Single Family Housing Construction,Y
23891,Site Preparation Contractors,Y
71392,Skiing Facilities,
332992,Small Arms Ammunition Manufacturing,
332994,Small Arms Manufacturing,
33521,Small Electrical Appliance Manufacturing,
31191,Snack Food Manufacturing,
722213,Snack and Nonalcoholic Beverage Bars,
32561,Soap and Cleaning Compound Manufacturing,
325611,Soap and Other Detergent Manufacturing,
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",
8133,Social Advocacy Organizations,
81331,Social Advocacy Organizations,
312111,Soft Drink Manufacturing,
31211,Soft Drink and Ice Manufacturing,
51121,Software Publishers,
5112,Software Publishers,
334611,Software Reproducing,
115112,"Soil Preparation, Planting, and Cultivating",
562111,Solid Waste Collection,
562213,Solid Waste Combustors and Incinerators,
562212,Solid Waste Landfill,
51224,Sound Recording Studios,
11111,Soybean Farming,
311222,Soybean Processing,
92711,Space Research and Technology,
9271,Space Research and Technology,
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",
7223,Special Food Services,
485991,Special Needs Transportation,
5414,Specialized Design Services,
48422,"Specialized Freight (except Used Goods) Trucking, Local",
48423,"Specialized Freight (except Used Goods) Trucking, Long-Distance",
4842,Specialized Freight Trucking,
6223,Specialty (except Psychiatric and Substance Abuse) Hospitals,
62231,Specialty (except Psychiatric and Substance Abuse) Hospitals,
311422,Specialty Canning,
4452,Specialty Food Stores,
238,Specialty Trade Contractors,Y
7112,Spectator Sports,
71121,Spectator Sports,
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",
311942,Spice and Extract Manufacturing,
45111,Sporting Goods Stores,
4511,"Sporting Goods, Hobby, and Musical Instrument Stores",
33992,Sporting and Athletic Goods Manufacturing,
42391,Sporting and Recreational Goods and Supplies Merchant Wholesalers,
42191,Sporting and Recreational Goods and Supplies Wholesalers,
711211,Sports Teams and Clubs,
61162,Sports and Recreation Instruction,
332611,Spring (Heavy Gauge) Manufacturing,
332612,Spring (Light Gauge) Manufacturing,
33261,Spring and Wire Product Manufacturing,
3326,Spring and Wire Product Manufacturing,
928,State Alcoholic Beverage Stores,
913,State Ambulance and Rescue Squads (except fire or police),
911,State Correctional Institutions,
921,State Elementary and Secondary Schools,
933,State Environmental Quality Programs,
912,State Fire Protection,
931,State Generation and Distribution of Electric Power,
92,State Government (spans 091-093),
919,State Group Homes for Mentally and Physically Handicapped,
926,State Highway Departments,
916,State Hospitals,
922,State Institutions of Higher Education,
915,State Libraries,
917,State Nursing Homes,
929,State Off-Track Betting Corp.,
925,State Parks and Recreation,
914,State Police Protection,
932,State Provision of Residential and Commercial Telephone and Telegraphic Communications,
924,State School Boards or Districts,
923,State Schools for Handicapped & Gifted,
918,State Sheltered Workshops,
927,State Transit Systems,
9,State and Local Government,
32223,Stationery Product Manufacturing,
42412,Stationery and Office Supplies Merchant Wholesalers,
322233,"Stationery, Tablet, and Related Product Manufacturing",
22133,Steam and Air-Conditioning Supply,
331513,Steel Foundries (except Investment),
331512,Steel Investment Foundries,
3312,Steel Product Manufacturing from Purchased Steel,
331222,Steel Wire Drawing,
21231,Stone Mining and Quarrying,
335911,Storage Battery Manufacturing,
111333,Strawberry Farming,
23591,Structural Steel Erection Contractors,Y
23812,Structural Steel and Precast Concrete Contractors,Y
111991,Sugar Beet Farming,
31131,Sugar Manufacturing,
3113,Sugar and Confectionery Product Manufacturing,
11193,Sugarcane Farming,
311311,Sugarcane Mills,
44511,Supermarkets and Other Grocery (except Convenience) Stores,
4881,Support Activities for Air Transportation,
1152,Support Activities for Animal Production,
11521,Support Activities for Animal Production,
213113,Support Activities for Coal Mining,
11511,Support Activities for Crop Production,
1151,Support Activities for Crop Production,
11531,Support Activities for Forestry,
1153,Support Activities for Forestry,
213114,Support Activities for Metal Mining,
2131,Support Activities for Mining,
21311,Support Activities for Mining,
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,
213112,Support Activities for Oil and Gas Operations,
32312,Support Activities for Printing,
48821,Support Activities for Rail Transportation,
4882,Support Activities for Rail Transportation,
4884,Support Activities for Road Transportation,
4883,Support Activities for Water Transportation,
325613,Surface Active Agent Manufacturing,
339113,Surgical Appliance and Supplies Manufacturing,
339112,Surgical and Medical Instrument Manufacturing,
54137,Surveying and Mapping (except Geophysical) Services,
335313,Switchgear and Switchboard Apparatus Manufacturing,
325132,Synthetic Organic Dye and Pigment Manufacturing,
325212,Synthetic Rubber Manufacturing,
541213,Tax Preparation Services,
48531,Taxi Service,
4853,Taxi and Limousine Service,
6115,Technical and Trade Schools,
61151,Technical and Trade Schools,
5133,Telecommunications,
517911,Telecommunications Resellers,
51731,Telecommunications Resellers,
5173,Telecommunications Resellers,
561422,Telemarketing Bureaus and Other Contact Centers,
561421,Telephone Answering Services,
33421,Telephone Apparatus Manufacturing,
56142,Telephone Call Centers,
512191,Teleproduction and Other Postproduction Services,
51512,Television Broadcasting,
56132,Temporary Help Services,
624221,Temporary Shelters,
54138,Testing Laboratories,
314911,Textile Bag Mills,
31491,Textile Bag and Canvas Mills,
3141,Textile Furnishings Mills,
333292,Textile Machinery Manufacturing,
313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills,
31331,Textile and Fabric Finishing Mills,
3133,Textile and Fabric Finishing and Fabric Coating Mills,
71111,Theater Companies and Dinner Theaters,
524292,Third Party Administration of Insurance and Pension Funds,
313113,Thread Mills,
23834,Tile and Terrazzo Contractors,Y
11311,Timber Tract Operations,
1131,Timber Tract Operations,
314992,Tire Cord and Tire Fabric Mills,
44132,Tire Dealers,
32621,Tire Manufacturing,
326211,Tire Manufacturing (except Retreading),
326212,Tire Retreading,
42313,Tire and Tube Merchant Wholesalers,
541191,Title Abstract and Settlement Offices,
11191,Tobacco Farming,
3122,Tobacco Manufacturing,
31222,Tobacco Product Manufacturing,
31221,Tobacco Stemming and Redrying,
453991,Tobacco Stores,
42494,Tobacco and Tobacco Product Merchant Wholesalers,
32562,Toilet Preparation Manufacturing,
31183,Tortilla Manufacturing,
334514,Totalizing Fluid Meter and Counting Device Manufacturing,
56152,Tour Operators,
42392,Toy and Hobby Goods and Supplies Merchant Wholesalers,
323121,Tradebinding and Related Work,
54193,Translation and Interpretation Services,
48,Transportation,
42386,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,
48-49,Transportation and Warehousing,
56151,Travel Agencies,
5615,Travel Arrangement and Reservation Services,
336214,Travel Trailer and Camper Manufacturing,
7211,Traveler Accommodation,
111335,Tree Nut Farming,
336212,Truck Trailer Manufacturing,
484,Truck Transportation,
53212,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",
321214,Truss Manufacturing,
523991,"Trust, Fiduciary, and Custody Activities",
52592,"Trusts, Estates, and Agency Accounts",
333611,Turbine and Turbine Generator Set Units Manufacturing,
11233,Turkey Production,
33272,"Turned Product and Screw, Nut, and Bolt Manufacturing",
322224,Uncoated Paper and Multiwall Bag Manufacturing,
315192,Underwear and Nightwear Knitting Mills,
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,
326121,Unlaminated Plastics Profile Shape Manufacturing,
337121,Upholstered Household Furniture Manufacturing,
4851,Urban Transit Systems,
48511,Urban Transit Systems,
32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,
44112,Used Car Dealers,
48421,Used Household and Office Goods Moving,
4533,Used Merchandise Stores,
45331,Used Merchandise Stores,
2371,Utility System Construction,Y
1112,Vegetable and Melon Farming,
11121,Vegetable and Melon Farming,
336321,Vehicular Lighting Equipment Manufacturing,
4542,Vending Machine Operators,
45421,Vending Machine Operators,
32121,"Veneer, Plywood, and Engineered Wood Product Manufacturing",
3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",
33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",
3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",
54194,Veterinary Services,
53223,Video Tape and Disc Rental,
327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing,
327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",
62431,Vocational Rehabilitation Services,
6243,Vocational Rehabilitation Services,
813212,Voluntary Health Organizations,
45291,Warehouse Clubs and Supercenters,
4931,Warehousing and Storage,
42373,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,
56211,Waste Collection,
5621,Waste Collection,
56221,Waste Treatment and Disposal,
5622,Waste Treatment and Disposal,
334518,"Watch, Clock, and Part Manufacturing",
22131,Water Supply and Irrigation Systems,
23711,Water and Sewer Line and Related Structures Construction,Y
2213,"Water, Sewage and Other Systems",
518112,Web Search Portals,
313241,Weft Knit Fabric Mills,
333992,Welding and Soldering Equipment Manufacturing,
311221,Wet Corn Milling,
11114,Wheat Farming,
4251,Wholesale Electronic Markets and Agents and Brokers,
42512,Wholesale Trade Agents and Brokers,
442291,Window Treatment Stores,
42482,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,
31213,Wineries,
51711,Wired Telecommunications Carriers,
5171,Wired Telecommunications Carriers,
51331,Wired Telecommunications Carriers,
51721,Wireless Telecommunications Carriers (except Satellite),
5172,Wireless Telecommunications Carriers (except Satellite),
33593,Wiring Device Manufacturing,
44812,Women's Clothing Stores,
316214,Women's Footwear (except Athletic) Manufacturing,
316992,Women's Handbag and Purse Manufacturing,
31523,Women's and Girls' Cut and Sew Apparel Manufacturing,
315232,Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing,
315233,Women's and Girls' Cut and Sew Dress Manufacturing,
315231,"Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing",
315239,Women's and Girls' Cut and Sew Other Outerwear Manufacturing,
315234,"Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket, and Skirt Manufacturing",
42433,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",
42233,"Women's, Children's, and Infants' Clothing and Accessories Wholesalers",
315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors",
32192,Wood Container and Pallet Manufacturing,
33711,Wood Kitchen Cabinet and Countertop Manufacturing,
337211,Wood Office Furniture Manufacturing,
321114,Wood Preservation,
337129,"Wood Television, Radio, and Sewing Machine Cabinet Manufacturing",
321911,Wood Window and Door Manufacturing,
23594,Wrecking and Demolition Contractors,Y
313112,"Yarn Texturizing, Throwing, and Twisting Mills",
71213,Zoos and Botanical Gardens,
